Tempo_s,Coppia_dx_Nm,RPM_dx,Potenza_dx_W
0.788000000000001,-2.24750320441077,-2214.54869630927,521.211719282989
0.789000000000001,-2.24750320441077,-2217.00577136581,521.790011517772
0.790000000000001,-2.24750320441077,-2219.46219645657,522.368150777921
0.791000000000001,-2.24750320441077,-2221.91796922586,522.946136509002
0.792000000000001,-2.24750320441077,-2224.37308730841,523.52396815433
0.793000000000001,-2.24750320441077,-2226.82754832932,524.101645154954
0.794000000000001,-2.24750320441077,-2229.28134990401,524.679166949646
0.795000000000001,-2.24750320441077,-2231.7344896382,525.256532974889
0.796000000000001,-2.24750320441077,-2234.1869651278,525.833742664865
0.797000000000001,-2.24750320441077,-2236.63877395891,526.410795451444
0.798000000000001,-2.24750320441077,-2239.08991370777,526.98769076417
0.799000000000001,-2.24750320441077,-2241.54038194065,527.56442803025
0.800000000000001,-2.24750320441077,-2243.99017621388,528.141006674542
0.801000000000001,-2.24750320441077,-2246.43929407372,528.717426119543
0.802000000000001,-2.24750320441077,-2248.88773305636,529.293685785374
0.803000000000001,-2.24750320441077,-2251.33549068785,529.869785089771
0.804000000000001,-2.24750320441077,-2253.78256448404,530.44572344807
0.805000000000001,-2.24750320441077,-2256.22895195054,531.021500273195
0.806000000000001,-2.24750320441077,-2258.67465058265,531.597114975646
0.807000000000001,-2.24750320441077,-2261.11965786532,532.172566963487
0.808000000000001,-2.24750320441077,-2263.56397127309,532.747855642328
0.809000000000001,-2.24750320441077,-2266.00758827003,533.32298041532
0.810000000000001,-2.24750320441077,-2268.45050630969,533.897940683135
0.811000000000001,-2.2500000023533,-2270.89272283505,535.066492695817
0.812000000000001,-2.2500000023533,-2273.22650182186,535.616376415396
0.813000000000001,-2.2500000023533,-2275.55961965116,536.166104353407
0.814000000000001,-2.2500000023533,-2277.89207393089,536.715675946235
0.815000000000001,-2.2500000023533,-2280.2238622593,537.26509062798
0.816000000000001,-2.2500000023533,-2282.55498222491,537.814347830448
0.817000000000001,-2.2500000023533,-2284.88543140642,538.363446983139
0.818000000000001,-2.2500000023533,-2287.21520737273,538.912387513233
0.819000000000001,-2.2500000023533,-2289.54430768282,539.46116884558
0.820000000000001,-2.2500000023533,-2291.87272988573,540.009790402688
0.821000000000001,-2.2500000023533,-2294.20047152051,540.558251604708
0.822000000000001,-2.2500000023533,-2296.52753011616,541.106551869424
0.823000000000001,-2.2500000023533,-2298.85390319159,541.654690612243
0.824000000000001,-2.2500000023533,-2301.17958825555,542.202667246178
0.825000000000001,-2.2500000023533,-2303.50458280658,542.750481181838
0.826000000000001,-2.2500000023533,-2305.82888433298,543.298131827415
0.827000000000001,-2.2500000023533,-2308.15249031272,543.845618588672
0.828000000000001,-2.2500000023533,-2310.47539821342,544.39294086893
0.829000000000001,-2.2500000023533,-2312.79760549227,544.940098069054
0.830000000000001,-2.2500000023533,-2315.11910959601,545.487089587443
0.831000000000001,-2.2500000023533,-2317.43990796081,546.033914820015
0.832000000000001,-2.2500000023533,-2319.75999801229,546.580573160193
0.833000000000001,-2.2500000023533,-2322.07937716544,547.127063998894
0.834000000000001,-2.2500000023533,-2324.39804282451,547.673386724517
0.835000000000001,-2.2500000023533,-2326.71599238305,548.219540722925
0.836000000000001,-2.2500000023533,-2329.03322322377,548.765525377437
0.837000000000001,-2.2500000023533,-2331.34973271853,549.31134006881
0.838000000000001,-2.2500000023533,-2333.66551822826,549.856984175232
0.839000000000001,-2.2500000023533,-2335.98057710293,550.402457072298
